x_1,y_1,width_1,height_1,filepath_1,subject_name_1,x_2,y_2,width_2,height_2,filepath_2,subject_name_2,label,gender_1,gender_2,skin_tone_1,skin_tone_2,nb_women
226,96,35,35,/dataset/YouTubeFaces/frame_images_DB/Patti_Labelle/2/2.271.jpg,Patti_Labelle,134,71,70,70,/dataset/YouTubeFaces/frame_images_DB/Patti_Labelle/3/3.4494.jpg,Patti_Labelle,1,F,F,#81654F,#513B2E,2
192,142,80,80,/dataset/YouTubeFaces/frame_images_DB/Emma_Nicholson/1/1.704.jpg,Emma_Nicholson,149,121,52,52,/dataset/YouTubeFaces/frame_images_DB/Emma_Nicholson/3/3.158.jpg,Emma_Nicholson,1,F,F,#81654F,#6F503C,2
242,170,230,230,/dataset/YouTubeFaces/frame_images_DB/Picabo_Street/2/2.287.jpg,Picabo_Street,283,157,146,146,/dataset/YouTubeFaces/frame_images_DB/Picabo_Street/4/4.1302.jpg,Picabo_Street,1,F,F,#9D7A54,#9D7A54,2
175,118,116,116,/dataset/YouTubeFaces/frame_images_DB/Mariana_Ohata/2/2.1575.jpg,Mariana_Ohata,121,91,95,95,/dataset/YouTubeFaces/frame_images_DB/Mariana_Ohata/3/3.569.jpg,Mariana_Ohata,1,F,F,#9D7A54,#81654F,2
166,174,120,120,/dataset/YouTubeFaces/frame_images_DB/Nia_Vardalos/2/2.1470.jpg,Nia_Vardalos,214,147,108,108,/dataset/YouTubeFaces/frame_images_DB/Nia_Vardalos/5/5.390.jpg,Nia_Vardalos,1,F,F,#9D7A54,#81654F,2
252,58,43,43,/dataset/YouTubeFaces/frame_images_DB/Lesia_Burlak/2/2.197.jpg,Lesia_Burlak,178,54,41,41,/dataset/YouTubeFaces/frame_images_DB/Lesia_Burlak/3/3.188.jpg,Lesia_Burlak,1,F,F,#6F503C,#6F503C,2
216,96,71,71,/dataset/YouTubeFaces/frame_images_DB/Marie-Josee_Croze/3/3.322.jpg,Marie-Josee_Croze,216,165,145,145,/dataset/YouTubeFaces/frame_images_DB/Marie-Josee_Croze/4/4.606.jpg,Marie-Josee_Croze,1,F,F,#6F503C,#81654F,2
172,80,82,82,/dataset/YouTubeFaces/frame_images_DB/Valerie_Harper/2/2.1693.jpg,Valerie_Harper,168,68,97,97,/dataset/YouTubeFaces/frame_images_DB/Valerie_Harper/3/3.2023.jpg,Valerie_Harper,1,F,F,#81654F,#6F503C,2
312,137,175,175,/dataset/YouTubeFaces/frame_images_DB/Barbara_Walters/0/0.103.jpg,Barbara_Walters,178,102,74,74,/dataset/YouTubeFaces/frame_images_DB/Barbara_Walters/4/4.348.jpg,Barbara_Walters,1,F,F,#9D7A54,#9D7A54,2
118,74,46,46,/dataset/YouTubeFaces/frame_images_DB/Nia_Vardalos/1/1.500.jpg,Nia_Vardalos,161,62,32,32,/dataset/YouTubeFaces/frame_images_DB/Nia_Vardalos/4/4.2091.jpg,Nia_Vardalos,1,F,F,#6F503C,#6F503C,2
151,63,46,46,/dataset/YouTubeFaces/frame_images_DB/Courtney_Cox/2/2.786.jpg,Courtney_Cox,197,130,107,107,/dataset/YouTubeFaces/frame_images_DB/Courtney_Cox/5/5.2437.jpg,Courtney_Cox,1,F,F,#6F503C,#422811,2
236,127,92,92,/dataset/YouTubeFaces/frame_images_DB/Eve_Ensler/0/0.1758.jpg,Eve_Ensler,158,71,47,47,/dataset/YouTubeFaces/frame_images_DB/Eve_Ensler/5/5.1535.jpg,Eve_Ensler,1,F,F,#9D7A54,#513B2E,2
188,164,204,204,/dataset/YouTubeFaces/frame_images_DB/Condoleezza_Rice/2/2.1129.jpg,Condoleezza_Rice,162,93,110,110,/dataset/YouTubeFaces/frame_images_DB/Condoleezza_Rice/4/4.273.jpg,Condoleezza_Rice,1,F,F,#9D7A54,#9D7A54,2
178,94,115,115,/dataset/YouTubeFaces/frame_images_DB/Priyanka_Chopra/2/2.249.jpg,Priyanka_Chopra,154,96,80,80,/dataset/YouTubeFaces/frame_images_DB/Priyanka_Chopra/4/4.865.jpg,Priyanka_Chopra,1,F,F,#6F503C,#9D7A54,2
160,84,76,76,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/0/0.1459.jpg,Mary_Landrieu,145,71,43,43,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/3/3.370.jpg,Mary_Landrieu,1,F,F,#9D7A54,#6F503C,2
179,119,61,61,/dataset/YouTubeFaces/frame_images_DB/Frances_Fisher/2/2.1896.jpg,Frances_Fisher,233,135,138,138,/dataset/YouTubeFaces/frame_images_DB/Frances_Fisher/4/4.117.jpg,Frances_Fisher,1,F,F,#E7C1B8,#6F503C,2
185,124,71,71,/dataset/YouTubeFaces/frame_images_DB/Emma_Thompson/4/4.1719.jpg,Emma_Thompson,161,68,52,52,/dataset/YouTubeFaces/frame_images_DB/Emma_Thompson/5/5.1205.jpg,Emma_Thompson,1,F,F,#6F503C,#81654F,2
243,97,92,92,/dataset/YouTubeFaces/frame_images_DB/Nona_Gaye/1/1.504.jpg,Nona_Gaye,192,118,53,53,/dataset/YouTubeFaces/frame_images_DB/Nona_Gaye/5/5.393.jpg,Nona_Gaye,1,F,F,#6F503C,#6F503C,2
273,134,107,107,/dataset/YouTubeFaces/frame_images_DB/Lauren_Hutton/1/1.1126.jpg,Lauren_Hutton,124,90,54,54,/dataset/YouTubeFaces/frame_images_DB/Lauren_Hutton/5/5.1199.jpg,Lauren_Hutton,1,F,F,#9D7A54,#81654F,2
145,83,54,54,/dataset/YouTubeFaces/frame_images_DB/Picabo_Street/0/0.1404.jpg,Picabo_Street,280,147,136,136,/dataset/YouTubeFaces/frame_images_DB/Picabo_Street/4/4.1163.jpg,Picabo_Street,1,F,F,#E7C1B8,#9D7A54,2
187,110,75,75,/dataset/YouTubeFaces/frame_images_DB/Amy_Redford/0/0.2431.jpg,Amy_Redford,215,152,80,80,/dataset/YouTubeFaces/frame_images_DB/Amy_Redford/1/1.531.jpg,Amy_Redford,1,F,F,#6F503C,#9D7A54,2
259,159,144,144,/dataset/YouTubeFaces/frame_images_DB/Beatriz_Merino/1/1.169.jpg,Beatriz_Merino,188,97,51,51,/dataset/YouTubeFaces/frame_images_DB/Beatriz_Merino/2/2.566.jpg,Beatriz_Merino,1,F,F,#9D7A54,#6F503C,2
131,118,54,54,/dataset/YouTubeFaces/frame_images_DB/Emma_Nicholson/2/2.489.jpg,Emma_Nicholson,138,96,57,57,/dataset/YouTubeFaces/frame_images_DB/Emma_Nicholson/3/3.133.jpg,Emma_Nicholson,1,F,F,#6F503C,#6F503C,2
201,145,133,133,/dataset/YouTubeFaces/frame_images_DB/Nadia_Petrova/4/4.1064.jpg,Nadia_Petrova,244,149,106,106,/dataset/YouTubeFaces/frame_images_DB/Nadia_Petrova/5/5.1199.jpg,Nadia_Petrova,1,F,F,#6F503C,#81654F,2
254,126,129,129,/dataset/YouTubeFaces/frame_images_DB/Edie_Falco/3/3.229.jpg,Edie_Falco,208,152,191,191,/dataset/YouTubeFaces/frame_images_DB/Edie_Falco/5/5.412.jpg,Edie_Falco,1,F,F,#6F503C,#81654F,2
192,93,63,63,/dataset/YouTubeFaces/frame_images_DB/Louisa_Baileche/1/1.1769.jpg,Louisa_Baileche,239,126,107,107,/dataset/YouTubeFaces/frame_images_DB/Louisa_Baileche/2/2.2596.jpg,Louisa_Baileche,1,F,F,#BEA07E,#6F503C,2
262,88,106,106,/dataset/YouTubeFaces/frame_images_DB/Jaime_Pressly/1/1.1494.jpg,Jaime_Pressly,189,41,47,47,/dataset/YouTubeFaces/frame_images_DB/Jaime_Pressly/2/2.4710.jpg,Jaime_Pressly,1,F,F,#9D7A54,#6F503C,2
254,91,64,64,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/1/1.598.jpg,Alma_Powell,418,161,95,95,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/3/3.688.jpg,Alma_Powell,1,F,F,#6F503C,#513B2E,2
195,100,88,88,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/1/1.918.jpg,Mary_Landrieu,153,82,47,47,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/5/5.1212.jpg,Mary_Landrieu,1,F,F,#81654F,#9D7A54,2
169,74,47,47,/dataset/YouTubeFaces/frame_images_DB/Yolanda_King/4/4.1598.jpg,Yolanda_King,110,53,26,26,/dataset/YouTubeFaces/frame_images_DB/Yolanda_King/5/5.6601.jpg,Yolanda_King,1,F,F,#9D7A54,#9D7A54,2
209,83,115,115,/dataset/YouTubeFaces/frame_images_DB/Amanda_Beard/3/3.277.jpg,Amanda_Beard,164,56,49,49,/dataset/YouTubeFaces/frame_images_DB/Amanda_Beard/4/4.1254.jpg,Amanda_Beard,1,F,F,#6F503C,#6F503C,2
